Case Number,Date,Year,Type,Country,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,
1968.02.02,2-Feb-68,1968,Unprovoked,AUSTRALIA,New South Wales,,,,Survived,N,,,
1968.02.00,Feb-68,1968,Unprovoked,MOZAMBIQUE,,Diving,,24,No injury,N,,,
1968.01.17,17-Jan-68,1968,Unprovoked,PAPUA NEW GUINEA,Morobe Province,Swimming,,13,FATAL,Y,17h30,,
1968.00.00.c,1968,1968,Unprovoked,COSTA RICA,Limon Province,Swimming after his canoe capsized,M,,FATAL,Y,,,
1968.00.00.b,1968,1968,Invalid,USA,Florida,Diving,,,"Recovered, said to involve a 1m nurse shark",,13h00,Questionable incident,
1968.00.00.a,1968,1968,Invalid,USA,Florida,Surfing,,,,,17h00,Questionable incident,
1967.12.30,30-Dec-67,1967,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,22,Right ankle & foot bitten,N,14h00,1.5 m to 1.8 m [5' to 6'] shark,
1967.12.21.R,Reported 21-Dec-1967,1967,Invalid,PAPUA NEW GUINEA,Central Province,Spearfishing,M,32,No injury,,,Questionable incident,
1967.12.18,18-Dec-67,1967,Unprovoked,FIJI,,,M,27,Arm lacerated,N,09h00,,
1967.12.17,17-Dec-67,1967,Unprovoked,AUSTRALIA,Victoria,Swimming,M,59,"FATAL, presumed taken by a shark, body not recovered",Y,A.M.,,
1967.12.14,14-Dec-67,1967,Provoked,USA,,,M,,"Head, shoulder, arm lacerated. Recorded as PROVOKED INCIDENT",N,,,
1967.11.30.b,30-Nov-67,1967,Provoked,AUSTRALIA,New South Wales,Freediving,M,15,Recorded as PROVOKED INCIDENT,N,,Grey nurse shark,
1967.11.30.a,30-Nov-67,1967,Unprovoked,AUSTRALIA,Queensland,,M,18,Arm lacerated,N,,Grey nurse shark,
1967.11.15,15-Nov-67,1967,Provoked,FIJI,,Freediving,M,21,Hand lacerated by speared shark PROVOKED INCIDENT,N,Morning,,
1967.11.04,4-Nov-67,1967,Sea Disaster,PHILIPPINES,Rombion Province,Sinking of the M/V Mindoro during a typhoon,,,Passengers taken by sharks,Y,,,
1967.11.00,Nov-67,1967,Invalid,SOUTH AFRICA,KwaZulu-Natal,,F,,"Bones and brightly colored bangles recovered  3.35 m, 145.5-kg tiger shark's gut ",,,Shark involvement prior to death was not confirmed,
1967.10.26.R,Reported 26-Oct-1967,1967,Unprovoked,MEXICO,Veracruz,Swimming,,,FATAL,Y,,,
1967.10.17,17-Oct-67,1967,Unprovoked,USA,Florida,Standing on sandbar,M,19,Left foot bitten,N,16h30,small blacktip shark,
1967.10.00,Oct-67,1967,Unprovoked,TONGA,,Swimming,M,17,Arm & leg bitten,N,,,
1967.09.20,20-Sep-67,1967,Invalid,USA,Hawaii,Boat capsized between O'ahu & Molokai,M,,Remains found in a 3.4 m (11') tiger shark. Probable drowning & scavenging,,,Shark involvement prior to death was not confirmed,
1967.09.13,13-Sep-67,1967,Provoked,ITALY,Brindisi Province,Scuba diving,M,21,"Diver shot the shark, then it injured his arm and broke his leg with its tail.  PROVOKED INCIDENT",,,2 m shark,
1967.09.07.b,7-Sep-67,1967,Provoked,PAPUA NEW GUINEA,New Ireland Province,Diving,,,"No details, listed as PROVOKED INCIDENT",UNKNOWN,,,
1967.09.07.a,7-Sep-67,1967,Unprovoked,USA,Florida,Spearfishing,,,Survived,N,14h30,,
1967.09.06,6-Sep-67,1967,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Spearfishing,M,,FATAL,Y,,,
1967.09.01,1-Sep-67,1967,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Spearfishing,M,23,FATAL,Y,,3.7 m [12'] shark,
1967.08.27,27-Aug-67,1967,Provoked,USA,California,Pulling shark from the water,M,24,Nipped on shoulder by captive shark PROVOKED INCIDENT,N,14h30,5' blue shark,
1967.08.26,26-Aug-67,1967,Unprovoked,JAPAN,Kagawa Prefecture,,M,19,FATAL,Y,14h30,,
1967.08.25,25-Aug-67,1967,Unprovoked,ITALY,Liguria,Spearfishing on Scuba,M,,Minor injuries to face & forearm,N,,,
1967.08.19,19-Aug-67,1967,Unprovoked,AUSTRALIA,Western Australia,"Spearfishing, dived to pick up a float line",M,23,"FATAL, ""bitten in two""",Y,11h00,White shark,
1967.08.15,15-Aug-67,1967,Unprovoked,BERMUDA,Hamilton,Floating,F,19,Right foot abraded & lacerated,N,16h00,,
1967.08.14.R,Reported 14-Aug-1967,1967,Unprovoked,COLUMBIA,,,M,,3 fingers were bitten by a shark,N,,,
1967.08.10,10-Aug-67,1967,Invalid,AUSTRALIA,New South Wales,Anti-sabotage night dive exercise alongside destroyer (Scuba diving),M,? & 19,"Disappeared, no trace of men or equipment, shark attack considered",,Night,Shark involvement prior to death was not confirmed,
1967.08.07,7-Aug-67,1967,Unprovoked,USA,Florida,Spearfishing,M,15,Shark grasped thigh,N,14h30,"Nurse shark, 106 cm, 28-lb, male ",
1967.08.00.b,Aug-67,1967,Unprovoked,BAHAMAS,Out Islands,Photographing sharks underwater using Scuba,M,41,"No injury, shark struck camera",N,Early afternoon,1.5 m to 1.8 m [5' to 6'] sandbar shark,
1967.08.00.a,Aug-67,1967,Unprovoked,SENEGAL,Cap Vert Peninsula,Beach seine netting,M,,Ankle bitten,N,04h00,1.8 m shark,
1967.07.29,29-Jul-67,1967,Unprovoked,USA,Florida,Snorkeling,M,20,Foot lacerated,N,Afternoon,,
1967.07.05,5-Jul-67,1967,Unprovoked,TURKEY,Mugla Province,Spearfishing,M,36,FATAL,Y,13h40,,
1967.07.00,Jul-67,1967,Invalid,USA,South Carolina,Surfing,M,18,Incident not confirmed,,16h30,Questionable incident,
1967.06.13,13-Jun-67,1967,Provoked,USA,Florida,Spearfishing,M,26,"After shark was speared & hit on head, it bit the diver's foot  PROVOKED INCIDENT",N,17h30,"Nurse shark, 1 m ",
1967.06.00,Jun-67,1967,Provoked,ITALY,Sicily,Fishing boat,M,,"No injury to occupants,  harpooned shark sank boat PROVOKED INCIDENT",N,,"White shark, 4 to 5 m [13' to 16.5'] ",
1967.05.13,13 or 30-May-1967,1967,Provoked,AUSTRALIA,South Australia,,M,30,Thigh abraded & lacerated Recorded as PROVOKED INCIDENT,N,Morning,Bronze whaler shark,
1967.05.09,9-May-67,1967,Provoked,AUSTRALIA,,Feeding a shark,M,22,Recorded as PROVOKED INCIDENT,N,Afternoon,Grey nurse shark,
1967.04.00,Apr-67,1967,Provoked,UNITED KINGDOM,Gibraltar,Fishing,M,60,Tooth knocked out by hooked shark PROVOKED INCIDENT,N,,,
1967.03.20,20-Mar-67,1967,Provoked,NEW ZEALAND,North Island,Freediving,M,21,Abrasions to lower leg Recorded as PROVOKED INCIDENT,N,Afternoon,,
1967.03.19,19-Mar-67,1967,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,32,"Punctures in right buttock & thigh, abrasion on right forearm",N,06h50,"White shark, 3 m [10'] ",
1967.03.12,12-Mar-67,1967,Provoked,AUSTRALIA,Victoria,Spearfishing,M,36,Speared shark lacerated his arm PROVOKED INCIDENT,N,15h00,Grey nurse shark,
1967.03.10,10-Mar-67,1967,Invalid,AUSTRALIA,New South Wales,Vehicle plunged over cliff into the water,,,"Fatal or scavenging by ""a pack of sharks""",,,Shark involvement prior to death was not confirmed,
1967.03.09,9-Mar-67,1967,Unprovoked,NEW ZEALAND,South Island,Lifesaving drill,M,21,"FATAL, seen taken by a shark ",Y,19h45,Thought to involve a white shark,
1967.03.01,1-Mar-67,1967,Unprovoked,PAPUA NEW GUINEA,New Britain,,M,14,Leg bitten,N,,3.7 m [12'] shark,
1967.02.06,6-Feb-67,1967,Sea Disaster,MEXICO,Veracruz,The shrimper Loless Maurine capsized in heavy seas & the men were swimming ashore  ,M,,FATAL,Y,14h00,,
1967.01.27,27-Jan-67,1967,Boat,SOUTH AFRICA,Western Cape Province,Fishing for rock lobster,,,"Holed & sank boat, 1 man flung into water but ignored by the shark",N,,White shark or thresher shark,
1967.01.22,22-Jan-67,1967,Provoked,SOUTH AFRICA,Western Cape Province,Spearfishing Competition,M,,"No injury, shark bit support boat, removing pieces of wood after Gerricke shot it  PROVOKED INCIDENT",N,,2.1 m [7'] sandtiger shark,
1967.01.21,21-Jan-67,1967,Unprovoked,MOZAMBIQUE,Bay of Maputo,Swimming in the channel,M,31,Right leg severely lacerated,N,,,
1967.01.06,6-Jan-67,1967,Provoked,AUSTRALIA,Victoria,Splashing,M,15,Foot bitten when he kicked shark PROVOKED INCIDENT,N,,"""sand shark""",
1966.12.31,31-Dec-66,1966,Unprovoked,AUSTRALIA,Tasmania,Fishing,M,30,"6"" laceration to left forearm ",N,,2.1 m [7'] shark,
1966.12.27.b,27-Dec-66,1966,Provoked,AUSTRALIA,New South Wales,Spearfishing,M,29,The shark bit the diver's leg after he shot it  PROVOKED INCIDENT,N,,"Grey nurse shark, 1.5 m [5'] ",
1966.12.27.a,27-Dec-66,1966,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,19,Right hand lacerated,N,,"Grey nurse shark, 1.5 m [5']",
1966.12.26,26-Dec-66,1966,Unprovoked,SINGAPORE,,Wading,M,39,Thigh bitten,N,Afternoon,,
1966.12.26,26-Dec-66,1966,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,29,Right leg bitten,N,,1.8 m [6'] shark,
1966.11.14,14-Nov-66,1966,Unprovoked,THAILAND,,,,28,No details,UNKNOWN,,,
1966.11.00,Early Nov-1966,1966,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,A father bathing his smallest daughter when the shark bumped her out of his arms and carried her into deep water,F,9 months,FATAL,Y,,3.7 m [12'] shark,
1966.10.30,30-Oct-66,1966,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Swimming,F,13,FATAL,Y,Morning,3.7 m [12'] shark,
1966.10.29,19-Oct-66,1966,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Bathing,F,8,FATAL,Y,09h00,3.7 m [12'] shark,
1966.09.27,27-Sep-66,1966,Unprovoked,AUSTRALIA,Queensland,"Free diving, carrying speargun",M,32,Shoulder lacerated,N,16h45,"Bronze whaler shark, 2.1 m [7'], a tooth was embedded in the speargun ",
1966.09.19,19-Sep-66,1966,Provoked,USA,Hawaii,Fishing,M,20,Left elbow or hand bitten PROVOKED INCIDENT,N,,,
1966.09.18,18-Sep-66,1966,Invalid,AUSTRALIA,Western Australia,Spearfishing,M,," The 2.9 m [9.5'] shark never made contact with him. No attack, no injury.",,,Invalid,
1966.09.13,13-Sep-66,1966,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,,Involved a speared shark but no other details PROVOKED INCIDENT,UNKNOWN,Late afternoon,,
1966.09.10,10-Sep-66,1966,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,43,No injury,N,12h00,"Mako shark, 1.9 m [6.5'] ",
1966.09.08.b,8-Sep-66,1966,Provoked,USA,Florida,Hunting crayfish ,M,14,Abdomen abraded when he seized shark PROVOKED INCIDENT,N,,"Nurse shark, 2.5' ",
1966.09.00,Sep-66,1966,Invalid,BAHAMAS,Bimini Islands,Diving / UW photography,M,,"2.4 to 3 m [8' to 10'] oceanic whitetip shark  buzzed him. No attack, no injury",,,Invalid,
1966.08.28,28-Aug-66,1966,Boat,AUSTRALIA,Northern Territory,,M,,"No injury to occupant. Shark struck vessel, jamming centreboard",N,,,
1966.08.27.b,27-Aug-66,1966,Invalid,SOUTH AFRICA,KwaZulu-Natal,Netting sharks,M,,"No attack, no injury to occupant: a 400-lb grey shark bit nets in the water ",,,Invalid,
1966.08.27.a,27-Aug-66,1966,Unprovoked,BAHAMAS,Bimini Islands,Snorkeling,F,18,"Survived, no details",N,17h00,,
1966.08.21.b,23-Aug-66,1966,Unprovoked,NEW BRITAIN,Duke of York Islands,Swimming,F,13,FATAL,Y,Midday,A pack of 6 sharks,
1966.08.21.a,23-Aug-66,1966,Unprovoked,NEW BRITAIN,Duke of York Islands,Diving into water,F,9,FATAL,Y,Midday,A pack of 6 sharks,
1966.08.16,16-Aug-66,1966,Unprovoked,CROATIA,Primorje-Gorski Kotar County ,Swimming,M,33,FATAL,Y,,White shark,
1966.08.14,14-Aug-66,1966,Unprovoked,TAIWAN,,Lobster diving using Scuba,M,,"No injury, but shark struck his calf",N,17h30,1.5 m to 2.1 m  [5' to 7'] shark,
1966.08.13,13-Aug-66,1966,Unprovoked,ITALY,Taranto province,Attacked shark with fists,M,21,Arm lacerated,N,,"""small shark""",
1966.08.00.b,Mid Aug-1966,1966,Invalid,USA,Delaware,Spearfishing on Scuba,M,26,"No attack, no injury, shark took speared fish & approached diver closely ",,17h00,Invalid,
1966.08.00.a,Aug-66,1966,Unprovoked,USA,Florida,Wading,M,8,"No injury, mother lifted him from the water",N,15h00,Spinner or blacktip sharks,
1966.07.31,31-Jul-66,1966,Unprovoked,USA,Texas,Diving for sand dollars,M,16,Dorsum of right foot grazed,N,,Lemon shark or sandtiger shark,
1966.07.19,19-Jul-66,1966,Provoked,USA,South Carolina,Killing a shark,M,34,"Arm bitten, PROVOKED INCIDENT",N,18h40,4' shark,
1966.07.17.b,17-Jul-66,1966,Unprovoked,USA,Texas,Fishing,M,14,Lacerations to right foot,N,15h00,,
1966.07.17.a,17-Jul-66,1966,Unprovoked,TAIWAN,Northern Taiwan,Swimming,M,20,"FATAL, left leg severed",Y,,,
1966.07.14,14-Jul-66,1966,Unprovoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",Swimming,F,25,FATAL,Y,,,
1966.07.03,3-Jul-66,1966,Invalid,USA,Florida,Free diving,M,46,No injury. A 1.1 m [3.5'] blacktip shark shark made a threat display & bit gig,,07h00,Invalid,
1966.07.02,2-Jul-66,1966,Boat,CARIBBEAN SEA,,,,,"No injury to occupants, sharks bit chunks from boat",N,,,
1966.06.22,22-Jun-66,1966,Provoked,USA,New Jersey,Clamming,M,15,3 lacerations on  right leg by speared fish PROVOKED INCIDENT,N,16h00,"Local authorities speculated that the water was too cold for sharks, but a 2.1 m [7'], 200-lb pregnant sandbar shark was caught next day",
1966.06.11,11-Jun-66,1966,Provoked,USA,Florida,Fishing,M,18,Hand & forearm bitten by hooked shark PROVOKED INCIDENT,N,09h00,1.2 m [4'] hammerhead shark,
1966.06.04,4-Jun-66,1966,Unprovoked,USA,Texas,Swimming,M,18,Punctures on  thigh & buttock,N,17h00,a small shark,
1966.06.02,2-Jun-66,1966,Provoked,FRENCH POLYNESIA,Society Islands,Fishing,M,,Arm lacerated by netted shark PROVOKED INCIDENT,N,Afternoon,,
1966.05.20.c,20-May-66,1966,Sea Disaster,AUSTRALIA,New South Wales,Sinking of the dredge World Atlas,M,40,FATAL,Y,Night,,
1966.05.20.b,20-May-66,1966,Unprovoked,AUSTRALIA,New South Wales,Fishing,M,,Foot bitten,N,01h00,1.8 m [6'] shark,
1966.05.20.a,20-May-66,1966,Sea Disaster,AUSTRALIA,,Shipwreck,M,38,"FATAL, other human remains bitten by sharks, 13 people missing",Y,Dark,Believed white shark and other smaller species of sharks involved.,
1966.05.16.b,16-May-66,1966,Invalid,USA,Florida,Spearfishing / Scuba diving,M,24,"White shark, 3.7 m [12']  made threat display. No injury, no attack",,14h00,Invalid,
1966.05.16.a,16-May-66,1966,Sea Disaster,PHILIPPINES,,The passenger ship Pioneer Cebu  capsized & sank in Typhoon Irma,M,,130 perished; 136 survived  including a man whose foot was severed by a shark,Y,,,
1966.04.08,8-Apr-66,1966,Unprovoked,USA,Puerto Rico,Swimming,M,25,Foot lacerated,N,16h30,,
1966.04.00,Apr-66,1966,Sea Disaster,AUSTRALIA,New South Wales,Overturned skiff,M,,Survived,N,,,
1966.03.20,20-Mar-66,1966,Provoked,AUSTRALIA,New South Wales,Fishing (big game),,,"No injury to occupants, hooked shark rammed boat, PROVOKED INCIDENT",N,,"Alleged to involve a White shark, 7.6 m [25'] ",
1966.03.12,14-Mar-66,1966,Sea Disaster,SUDAN,Red Sea,"The World Liberty and the tanker Mosli collided. The  Halcyon Breeze sent a lifeboat to the rescue, but it was smashed, throwing 6 men in the  water.",M,,FATAL,Y,,,
1966.02.27,27-Feb-66,1966,Unprovoked,AUSTRALIA,New South Wales,Treading water,M,13,"Left leg & lower right leg bitten, taken ashore with shark still grasping his leg",N,14h00,"White shark, 2.5 m [8.25'], an immature female, previously injured",
1966.01.29,29-Jan-66,1966,Provoked,SOUTH AFRICA,Western Cape Province,Helping men land a shark,M,33,Left leg lacerated by hooked shark  PROVOKED INCIDENT,N,Afternoon,Copper shark,
1966.01.25,25-Jan-66,1966,Sea Disaster,INDONESIA,North Sumatra,wreck of the State Oil Company ship Permina,,,Sharks said to have killed some of the 80 people lost,Y,,,
1966.01.22,22-Jan-66,1966,Unprovoked,USA,California,Free diving / spearfishing (resting on the surface),M,29,"Hand, arm & thigh bitten",N,10h00 / 11h00,"White shark, 3 m [10'] ",
1966.01.15,15-Jan-66,1966,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,30,Buttocks bitten,N,,"Wobbegong shark, 5' ",
1966.01.14,14-Jan-66,1966,Sea Disaster,COLUMBIA,,Colombian  (Avianca) DC-4 airliner plunged into the sea 5 minutes after takeoff,,,"10 survived, 51 perished. ",Y,,Shark involvement not confirmed,
1966.01.11,11-Jan-66,1966,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Standing,M,16,Right calf lacerated,N,09h00,1.5 m to 1.8 m [5' to 6'] Zambesi shark,
1966.01.10,10-Jan-66,1966,Unprovoked,AUSTRALIA,Western Australia,Jumped into the water,M,43,"Lower leg nipped, arm bruised when he landed in boat",N,,76 cm [2.5'] carpet shark,
1966.01.09,9-Jan-66,1966,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body surfing,M,15,Lower legs bitten,N,14h00,"1.8 m to 2 m [6' to 6'9""] shark",
1966.01.08,8-Jan-66,1966,Unprovoked,NEW ZEALAND,North Island,Body surfing ,F,15,"FATAL, left leg bitten thigh to calf  ",Y,15h30,,
1966.01.05,5-Jan-66,1966,Unprovoked,USA,Florida,Swimming,M,35,Thigh gashed,N,16h00,Hammerhead shark,
1966.00.00,Summer of 1996,1966,Invalid,USA,California,Walking,F,15,Minor lacerations & abrasions to lower leg. ,,"""After lunch""",Shark involvement not confirmed,
1965.12.28,28-Dec-65,1965,Unprovoked,AUSTRALIA,Western Australia,"Spearfishing, but standing in knee-deep water",M,40,Thigh & swim fin bitten,N,,1.8 m [6'] carpet shark,
1965.12.19,19-Dec-65,1965,Unprovoked,JOHNSTON ISLAND,,Freediving,M,,No injury,N,14h00,Grey reef shark,
1965.12.10,10-Dec-65,1965,Boat,AUSTRALIA,South Australia,Fishing,,,No injury to occupants. Shark  gouged planks of boat,N,10h30,15' shark,
1965.11.21.b,21-Nov-65,1965,Provoked,AUSTRALIA,Queensland,Fishing from 34' boat when pulled overboard by hooked shark,M,43,FATAL PROVOKED INCIDENT,Y,,4.6 m [15'] shark,
1965.11.21.a,21-Nov-65,1965,Unprovoked,PACIFIC OCEAN ,"250 miles southwest of O'ahu, Hawaii","Hauling dead shark aboard, when another shark leapt out of the water & bit him",M,44,"Left forearm bitten, surgically amputated",N,23h30,,
1965.11.03.b,3-Nov-65,1965,Invalid,PANAMA,Caribbean Sea,Argentine Air Force C-54,,,2 life preservers had been bitten by sharks,,07h32,Shark involvement not confirmed,
1965.11.03.a,3-Nov-65,1965,Unprovoked,AUSTRALIA,Queensland,Surfing,M,24,Puncture wounds to right thigh,N,16h30,"Grey nurse shark, 2.4 m [8'] ",
1965.10.21,21-Oct-65,1965,Unprovoked,,,The boat Caribou II sank,M,39,Survived,N,,,
1965.10.16.b,16-Oct-65,1965,Unprovoked,BAHAMAS,New Providence Island,Sunbathing on beach when he saw child being attacked by the shark,M,32,Right arm & right leg bitten,N,,"1.8 m [6'], 180-lb shark",
1965.10.16.a,16-Oct-65,1965,Unprovoked,BAHAMAS,New Providence Island,Playing in the water,F,,FATAL,Y,,"1.8 m [6'], 180-lb shark",
1965.10.10,10-Oct-65,1965,Unprovoked,NEW BRITAIN,West coast,"Spearfishing, shot a turtle",M,15,FATAL,Y,,2 sharks involved,
1965.10.00,Oct-65,1965,Unprovoked,PAPUA NEW GUINEA,New Britain,Wading,M,27,Toe severed,N,,,
1965.09.21,21-Sep-65,1965,Provoked,PAPUA NEW GUINEA,Madang Province,Spearing fish,M,,"Minor injury, speared shark lacerated his kneecap & leg PROVOKED INCIDENT",N,,"""small shark""",
1965.09.12,12-Sep-65,1965,Provoked,PAPUA NEW GUINEA,East Sepik,Fishing (rod & line),M,,Leg & hand bitten by shark that had been speared by another fisherman PROVOKED INCIDENT,N,14h00,0.9 m [3'] shark,
1965.09.08,8-Sep-65,1965,Unprovoked,MEXICO,Veracruz,,M,23,Leg & arm bitten,N,18h00,300-kg [662-lb] shark,
1965.08.30,30-Aug-65,1965,Invalid,PHILIPPINES,,"Arsinoe, a French tanker",M,,"One man was lost, but he may have drowned",,,Shark involvement not confirmed,
1965.08.26,26-Aug-65,1965,Unprovoked,USA,New Jersey,Swimming,M,15,Right thigh lacerated,N,17h30,,
1965.07.30,30-Jul-64,1965,Provoked,BAHAMAS,Bimini Islands,Attempting to anesthetize shark,M,,Chest bitten PROVOKED INCIDENT,N,,"Lemon shark, 0.5 m",
1965.07.26,26-Jul-65,1965,Unprovoked,MEXICO,Veracruz,Bathing,M,25,"FATAL, both legs severed ",Y,17h00,,
1965.07.02.R,Reported 02-Jul-1965,1965,Boat,BERMUDA,Hamilton,,,,"No injury to occupant, shark bit boat",N,,,
1965.06.19,19-Jun-65,1965,Invalid,USA,Florida,Wading,M,6,Parallel lacerations on right calf. Thought to be a barracuda bite ,,,Questionable incident,
1965.06.18,18-Jun-65,1965,Invalid,USA,Florida,"Diving, retrieving film package from Titan 3C rocket",M,,"No injury, chased by 4.6 m [15'] oceanic whitetip sharks",,,Invalid,
1965.06.09,9-Jun-65,1965,Unprovoked,MEXICO,Veracruz,Swimming,M,38,"Right forearm severed, right leg bitten and surgically amputated",N,14h00,,
1965.06.00.b,Jun-65,1965,Unprovoked,PAPUA NEW GUINEA,Near Bougainville (North Solomons),Spearfishing,M,,Minor injury,N,,,
1965.06.00,Jun-65,1965,Unprovoked,SOUTH PACIFIC OCEAN,,Treading water,M,,"FATAL, body not recovered",Y,Morning, ,
1965.05.29,29-May-65,1965,Unprovoked,MEXICO,Veracruz,Swimming,M,,"FATAL, left leg & right arm severed ",Y,12h00,,
1965.05.28,28-May-65,1965,Unprovoked,MEXICO,Veracruz,Swimming,M,,"FATAL, left arm & right leg severed ",Y,,,
1965.05.00.c,May-Jun-1965,1965,Unprovoked,EGYPT,,Standing,M,,Leg bitten,N,,,
1965.05.00.b,May-65,1965,Unprovoked,JAMAICA,,Diving,M,,Minor injury,N,,,
1965.05.00.a,May-65,1965,Unprovoked,MEXICO,Veracruz,Swimming,M,35,"Right arm severed, right leg bitten, not known if he survived",N,,,
1965.04.29,29-Apr-65,1965,Unprovoked,USA,Florida,,M,49,"Thighs abraded, puncture wounds in dorsal surface of left hand",N,15h00,Bull shark,
1965.04.25,25-Apr-65,1965,Invalid,USA,California,Surfing,M,19,Drowned & his body was not recovered. Sharks seen in area later that day but no shark involvement in surfer's death,,16h00,Invalid,
1965.04.10,10-Apr-65,1965,Unprovoked,USA,Florida,Spearfishing,M,28,Left hand severely lacerated,N,11h00,"White shark, 10' to 12' ",
1965.04.04.b,4-Apr-65,1965,Unprovoked,PALAU,Western Caroline Islands,Walking on reef,M,8,Right leg bitten,N,15h30,"Tiger shark, tooth fragment recovered",
1965.04.04.a,4-Apr-65,1965,Unprovoked,USA,Florida,Paddling on surfboard,M,17,Left hand punctured & lacerated,N,07h15,Blacktip or spinner shark,
1965.03.23,23-Mar-65,1965,Invalid,USA,Puerto Rico,Aircraft exploded,M,,"All 16 onboard perished, recovery efforts hampered by sharks",,11h30,Shark involvement prior to death was not confirmed,
1965.03.14,14-Mar-65,1965,Unprovoked,USA,Florida,Free diving,M,16,Survived,N,13h30,Mako shark,
1965.02.14,14-Feb-65,1965,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Treading water,M,25,"Abdomen, buttock, thigh, arm & hand bitten",N,15h00 or 15h45,"1.8 m [6'], 136-kg [300-lb] shark ",
1965.02.04,4-Feb-65,1965,Unprovoked,USA,Massachusetts,Scuba diving,M,18,Punctures on left thigh,N,14h30,1.2 m [4'] shark,
1965.01.25,25-Jan-65,1965,Invalid,USA,California,Motor boat Rebel Belle lost,M,21,"Puncture marks on chest may have been post mortem, 4 other bodies in area were undamaged",,,Shark involvement prior to death was not confirmed,
1965.01.23,23-Jan-65,1965,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Paddling rescue ski,M,22,"No injury, ski bitten",N,13h00,"White shark, 3.7 m [12'] ",
1965.01.16,16-Jan-65,1965,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body surfing,M,20,Right thigh punctured,N,16h40,,
1965.01.10,10-Jan-65,1965,Unprovoked,AUSTRALIA,Victoria,Swimming,M,,Thigh gashed,N,,1.5 m [5'] shark,
1965.01.09,9-Jan-65,1965,Unprovoked,NEW GUINEA,Central Province,Free diving,M,30,FATAL,Y,,4.9 m [16'] whaler,
1965.00.00.g,Summer 1965,1965,Unprovoked,USA,Texas,Dangling feet in the water,M,13,Foot bitten,N,,,
1965.00.00.f,1965,1965,Provoked,USA,California,Surfing,M,Teen,Puncture wounds to foot when he stepped on a shark    PROVOKED INCIDENT,N,,,
1965.00.00.e,Early 1965,1965,Provoked,USA,Florida,Collecting marine specimens,M,,"No injury, shark tore his wetsuit after he grabbed it by the tail  PROVOKED INCIDENT",N,,"Nurse shark, 0.94 m to 1.2 m [3' to 4'] ",
1965.00.00.d,May-Jun-1965,1965,Unprovoked,RED SEA,East of the Gulf of Aqaba,Standing in waist-deep water,M,,Leg bitten three times,N,,Small shark with white-tipped dorsal fin,
1965.00.00.c,May-Jun-1965,1965,Unprovoked,EGYPT,,"Spearfishing, but standing in the water",M,25 to 35,Ankle and thigh bitten; shark made three strikes,N,,"1.5 m to 2.1 m [5' to 7'] shark, possibly a mako shark",
1965.00.00.b,1965,1965,Unprovoked,VANUATU,Malampa Province,,M,,FATAL. Said to have been killed by sorcerers that turned themselves into sharks. The alleged sorcerers were taken into custody by authorities but released  due to lack of evidence. ,Y,,,
1965.00.00.a,Ca. 1965,1965,Invalid,SOUTH AFRICA,Eastern Cape Province,Bather,,,No details,,,Questionable incident,
1964.12.25,25-Dec-64,1964,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,19,"Hand, ankle & calf lacerated",N,17h00,Raggedtooth shark ,
1964.12.10.b,10-Dec-64,1964,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),,M,,Thigh severely lacerated,N,,,
1964.12.10.a,10-Dec-64,1964,Boat,AUSTRALIA,New South Wales,Fishing,,,"No injury to occupants, shark rammed boat, bit planks & sheared off copper rivet at stern of boat",N,10h30,4.6 m [15'] shark,
1964.12.09,9-Dec-64,1964,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),"Canoe swamped, swimming back to canoe",M,28,Survived,N,Late afternoon,2.1 m [7'] shark,
1964.12.06,6-Dec-64,1964,Unprovoked,KENYA,Coast Province,Fishing with hand line tied to wrist & was pulled into the water,M,10,FATAL,Y,,,
1964.11.29,29-Nov-64,1964,Unprovoked,AUSTRALIA,Victoria ,Free diving with seals,M,25,Left leg severed,N,14h30,"White shark, 2.4 m [8'] ",
1964.11.18,18-Nov-64,1964,Unprovoked,AUSTRALIA,Queensland,Swimming out to rescue swimmers in difficulty,M,29,FATAL,Y,13h30,,
